Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([50]), u'n_hidden_layers': array([2]), u'learning_rate': array([ 0.00010145]), u'beta': array([ 0.1])}
('Epoch:', '0001', 'training cost=', '13.304454431')
('Epoch:', '0001', 'test cost=', '2.609121799')
('Epoch:', '0002', 'training cost=', '8.577966432')
('Epoch:', '0002', 'test cost=', '1.792078495')
('Epoch:', '0003', 'training cost=', '5.772239139')
('Epoch:', '0003', 'test cost=', '1.284149170')
('Epoch:', '0004', 'training cost=', '4.004687079')
('Epoch:', '0004', 'test cost=', '0.895778716')
('Epoch:', '0005', 'training cost=', '2.736263124')
('Epoch:', '0005', 'test cost=', '0.653532803')
('Epoch:', '0006', 'training cost=', '1.835279965')
('Epoch:', '0006', 'test cost=', '0.563346028')
('Epoch:', '0007', 'training cost=', '1.256737713')
('Epoch:', '0007', 'test cost=', '0.561385274')
('Epoch:', '0008', 'training cost=', '0.948600099')
('Epoch:', '0008', 'test cost=', '0.573624372')
('Epoch:', '0009', 'training cost=', '0.781636523')
('Epoch:', '0009', 'test cost=', '0.579628110')
('Epoch:', '0010', 'training cost=', '0.693994864')
('Epoch:', '0010', 'test cost=', '0.575185955')
('Epoch:', '0011', 'training cost=', '0.643293356')
('Epoch:', '0011', 'test cost=', '0.562965810')
('Epoch:', '0012', 'training cost=', '0.618520577')
('Epoch:', '0012', 'test cost=', '0.556168079')
('Epoch:', '0013', 'training cost=', '0.601242165')
('Epoch:', '0013', 'test cost=', '0.545968294')
('Epoch:', '0014', 'training cost=', '0.581963552')
('Epoch:', '0014', 'test cost=', '0.540463626')
('Epoch:', '0015', 'training cost=', '0.567060199')
('Epoch:', '0015', 'test cost=', '0.531405449')
('Epoch:', '0016', 'training cost=', '0.565177759')
('Epoch:', '0016', 'test cost=', '0.523360848')
('Epoch:', '0017', 'training cost=', '0.558357612')
('Epoch:', '0017', 'test cost=', '0.520255625')
('Epoch:', '0018', 'training cost=', '0.549284287')
('Epoch:', '0018', 'test cost=', '0.512842000')
('Epoch:', '0019', 'training cost=', '0.543993726')
('Epoch:', '0019', 'test cost=', '0.505147874')
('Epoch:', '0020', 'training cost=', '0.538669149')
('Epoch:', '0020', 'test cost=', '0.502252638')
('Epoch:', '0021', 'training cost=', '0.531213644')
('Epoch:', '0021', 'test cost=', '0.493075788')
('Epoch:', '0022', 'training cost=', '0.527215785')
('Epoch:', '0022', 'test cost=', '0.487233788')
('Epoch:', '0023', 'training cost=', '0.523610346')
('Epoch:', '0023', 'test cost=', '0.482181937')
('Epoch:', '0024', 'training cost=', '0.521109322')
('Epoch:', '0024', 'test cost=', '0.479710937')
('Epoch:', '0025', 'training cost=', '0.511060249')
('Epoch:', '0025', 'test cost=', '0.472218275')
('Epoch:', '0026', 'training cost=', '0.510025555')
('Epoch:', '0026', 'test cost=', '0.471673965')
('Epoch:', '0027', 'training cost=', '0.506816332')
('Epoch:', '0027', 'test cost=', '0.467606157')
('Epoch:', '0028', 'training cost=', '0.504204522')
('Epoch:', '0028', 'test cost=', '0.463263661')
('Epoch:', '0029', 'training cost=', '0.499946367')
('Epoch:', '0029', 'test cost=', '0.460068077')
('Epoch:', '0030', 'training cost=', '0.498308954')
('Epoch:', '0030', 'test cost=', '0.456855357')
('Epoch:', '0031', 'training cost=', '0.496240177')
('Epoch:', '0031', 'test cost=', '0.455204725')
('Epoch:', '0032', 'training cost=', '0.494745993')
('Epoch:', '0032', 'test cost=', '0.450140327')
('Epoch:', '0033', 'training cost=', '0.488650231')
('Epoch:', '0033', 'test cost=', '0.447781652')
('Epoch:', '0034', 'training cost=', '0.487882102')
('Epoch:', '0034', 'test cost=', '0.444549710')
('Epoch:', '0035', 'training cost=', '0.485920994')
('Epoch:', '0035', 'test cost=', '0.443297893')
('Epoch:', '0036', 'training cost=', '0.480409683')
('Epoch:', '0036', 'test cost=', '0.441434175')
('Epoch:', '0037', 'training cost=', '0.480577904')
('Epoch:', '0037', 'test cost=', '0.443570226')
('Epoch:', '0038', 'training cost=', '0.477727046')
('Epoch:', '0038', 'test cost=', '0.437362701')
('Epoch:', '0039', 'training cost=', '0.475744071')
('Epoch:', '0039', 'test cost=', '0.437343031')
('Epoch:', '0040', 'training cost=', '0.477233659')
('Epoch:', '0040', 'test cost=', '0.437574327')
('Epoch:', '0041', 'training cost=', '0.472306727')
('Epoch:', '0041', 'test cost=', '0.434088051')
('Epoch:', '0042', 'training cost=', '0.472370832')
('Epoch:', '0042', 'test cost=', '0.431800485')
('Epoch:', '0043', 'training cost=', '0.471388674')
('Epoch:', '0043', 'test cost=', '0.430981934')
('Epoch:', '0044', 'training cost=', '0.467872453')
('Epoch:', '0044', 'test cost=', '0.432940513')
('Epoch:', '0045', 'training cost=', '0.467889940')
('Epoch:', '0045', 'test cost=', '0.427481979')
('Epoch:', '0046', 'training cost=', '0.463516812')
('Epoch:', '0046', 'test cost=', '0.427145988')
('Epoch:', '0047', 'training cost=', '0.463646252')
('Epoch:', '0047', 'test cost=', '0.425787657')
('Epoch:', '0048', 'training cost=', '0.462936320')
('Epoch:', '0048', 'test cost=', '0.423046827')
('Epoch:', '0049', 'training cost=', '0.461460580')
('Epoch:', '0049', 'test cost=', '0.424984038')
('Epoch:', '0050', 'training cost=', '0.457279313')
('Epoch:', '0050', 'test cost=', '0.423124135')
('Epoch:', '0051', 'training cost=', '0.459094564')
('Epoch:', '0051', 'test cost=', '0.422578037')
('Epoch:', '0052', 'training cost=', '0.459525041')
('Epoch:', '0052', 'test cost=', '0.425390929')
('Epoch:', '0053', 'training cost=', '0.456737963')
('Epoch:', '0053', 'test cost=', '0.420485556')
('Epoch:', '0054', 'training cost=', '0.459843544')
('Epoch:', '0054', 'test cost=', '0.421371251')
('Epoch:', '0055', 'training cost=', '0.457411171')
('Epoch:', '0055', 'test cost=', '0.418909818')
('Epoch:', '0056', 'training cost=', '0.453961136')
('Epoch:', '0056', 'test cost=', '0.417249113')
('Epoch:', '0057', 'training cost=', '0.451512737')
('Epoch:', '0057', 'test cost=', '0.415392578')
('Epoch:', '0058', 'training cost=', '0.453320849')
('Epoch:', '0058', 'test cost=', '0.418557703')
('Epoch:', '0059', 'training cost=', '0.450348878')
('Epoch:', '0059', 'test cost=', '0.413724035')
('Epoch:', '0060', 'training cost=', '0.452125876')
('Epoch:', '0060', 'test cost=', '0.420817047')
('Epoch:', '0061', 'training cost=', '0.448242663')
('Epoch:', '0061', 'test cost=', '0.414481342')
('Epoch:', '0062', 'training cost=', '0.447253788')
('Epoch:', '0062', 'test cost=', '0.414222032')
('Epoch:', '0063', 'training cost=', '0.444733244')
('Epoch:', '0063', 'test cost=', '0.414735198')
('Epoch:', '0064', 'training cost=', '0.443797540')
('Epoch:', '0064', 'test cost=', '0.417290151')
('Epoch:', '0065', 'training cost=', '0.444287173')
('Epoch:', '0065', 'test cost=', '0.409664840')
('Epoch:', '0066', 'training cost=', '0.442990156')
('Epoch:', '0066', 'test cost=', '0.412912250')
('Epoch:', '0067', 'training cost=', '0.444730114')
('Epoch:', '0067', 'test cost=', '0.411430508')
('Epoch:', '0068', 'training cost=', '0.442560898')
('Epoch:', '0068', 'test cost=', '0.410412878')
('Epoch:', '0069', 'training cost=', '0.442973138')
('Epoch:', '0069', 'test cost=', '0.413295507')
('Epoch:', '0070', 'training cost=', '0.441892823')
('Epoch:', '0070', 'test cost=', '0.413853168')
('Epoch:', '0071', 'training cost=', '0.441880674')
('Epoch:', '0071', 'test cost=', '0.411668658')
('Epoch:', '0072', 'training cost=', '0.439889618')
('Epoch:', '0072', 'test cost=', '0.410455287')
('Epoch:', '0073', 'training cost=', '0.439763810')
('Epoch:', '0073', 'test cost=', '0.407998085')
('Epoch:', '0074', 'training cost=', '0.438266248')
('Epoch:', '0074', 'test cost=', '0.410011917')
('Epoch:', '0075', 'training cost=', '0.438792977')
('Epoch:', '0075', 'test cost=', '0.409540355')
('Epoch:', '0076', 'training cost=', '0.437634265')
('Epoch:', '0076', 'test cost=', '0.410095423')
('Epoch:', '0077', 'training cost=', '0.437777041')
('Epoch:', '0077', 'test cost=', '0.406270176')
('Epoch:', '0078', 'training cost=', '0.438444445')
('Epoch:', '0078', 'test cost=', '0.406672418')
('Epoch:', '0079', 'training cost=', '0.438534951')
('Epoch:', '0079', 'test cost=', '0.409019947')
('Epoch:', '0080', 'training cost=', '0.441346225')
('Epoch:', '0080', 'test cost=', '0.410541028')
('Epoch:', '0081', 'training cost=', '0.437474181')
('Epoch:', '0081', 'test cost=', '0.409014463')
('Epoch:', '0082', 'training cost=', '0.435524994')
('Epoch:', '0082', 'test cost=', '0.405278265')
('Epoch:', '0083', 'training cost=', '0.435342320')
('Epoch:', '0083', 'test cost=', '0.407485902')
('Epoch:', '0084', 'training cost=', '0.435614085')
('Epoch:', '0084', 'test cost=', '0.406652868')
('Epoch:', '0085', 'training cost=', '0.434113841')
('Epoch:', '0085', 'test cost=', '0.405396163')
('Epoch:', '0086', 'training cost=', '0.436784997')
('Epoch:', '0086', 'test cost=', '0.406514317')
('Epoch:', '0087', 'training cost=', '0.431961066')
('Epoch:', '0087', 'test cost=', '0.407831579')
('Epoch:', '0088', 'training cost=', '0.428444482')
