Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([207]), u'n_hidden_layers': array([3]), u'learning_rate': array([ 0.0001]), u'beta': array([ 0.1])}
('Epoch:', '0001', 'training cost=', '485.317589966')
('Epoch:', '0001', 'test cost=', '79.261352539')
('Epoch:', '0002', 'training cost=', '322.462874847')
('Epoch:', '0002', 'test cost=', '50.537445068')
('Epoch:', '0003', 'training cost=', '235.940369812')
('Epoch:', '0003', 'test cost=', '36.170207977')
('Epoch:', '0004', 'training cost=', '181.881411209')
('Epoch:', '0004', 'test cost=', '25.512620926')
('Epoch:', '0005', 'training cost=', '141.816222363')
('Epoch:', '0005', 'test cost=', '17.888265610')
('Epoch:', '0006', 'training cost=', '111.523768402')
('Epoch:', '0006', 'test cost=', '12.955881119')
('Epoch:', '0007', 'training cost=', '88.861676460')
('Epoch:', '0007', 'test cost=', '9.347682953')
('Epoch:', '0008', 'training cost=', '69.942449924')
('Epoch:', '0008', 'test cost=', '6.624362469')
('Epoch:', '0009', 'training cost=', '54.370259750')
('Epoch:', '0009', 'test cost=', '4.699663162')
('Epoch:', '0010', 'training cost=', '42.019804770')
('Epoch:', '0010', 'test cost=', '3.205812454')
('Epoch:', '0011', 'training cost=', '30.989835269')
('Epoch:', '0011', 'test cost=', '2.086513519')
('Epoch:', '0012', 'training cost=', '22.148959602')
('Epoch:', '0012', 'test cost=', '1.307446957')
('Epoch:', '0013', 'training cost=', '15.051830558')
('Epoch:', '0013', 'test cost=', '0.739458680')
('Epoch:', '0014', 'training cost=', '9.582465077')
('Epoch:', '0014', 'test cost=', '0.540243149')
('Epoch:', '0015', 'training cost=', '5.355319844')
('Epoch:', '0015', 'test cost=', '0.568059087')
('Epoch:', '0016', 'training cost=', '2.945285169')
('Epoch:', '0016', 'test cost=', '0.601345718')
('Epoch:', '0017', 'training cost=', '1.815985009')
('Epoch:', '0017', 'test cost=', '0.622977316')
('Epoch:', '0018', 'training cost=', '1.264052438')
('Epoch:', '0018', 'test cost=', '0.605540216')
('Epoch:', '0019', 'training cost=', '0.996563607')
('Epoch:', '0019', 'test cost=', '0.602392614')
('Epoch:', '0020', 'training cost=', '0.866090473')
('Epoch:', '0020', 'test cost=', '0.621393442')
('Epoch:', '0021', 'training cost=', '0.771745101')
('Epoch:', '0021', 'test cost=', '0.660374463')
('Epoch:', '0022', 'training cost=', '0.715972323')
('Epoch:', '0022', 'test cost=', '0.570649624')
('Epoch:', '0023', 'training cost=', '0.684672708')
('Epoch:', '0023', 'test cost=', '0.592072368')
('Epoch:', '0024', 'training cost=', '0.656773880')
('Epoch:', '0024', 'test cost=', '0.607511103')
('Epoch:', '0025', 'training cost=', '0.639970078')
('Epoch:', '0025', 'test cost=', '0.582235277')
('Epoch:', '0026', 'training cost=', '0.619679177')
('Epoch:', '0026', 'test cost=', '0.577479184')
('Epoch:', '0027', 'training cost=', '0.605734846')
('Epoch:', '0027', 'test cost=', '0.561652660')
('Epoch:', '0028', 'training cost=', '0.601710796')
('Epoch:', '0028', 'test cost=', '0.569425881')
('Epoch:', '0029', 'training cost=', '0.590796238')
('Epoch:', '0029', 'test cost=', '0.563054025')
('Epoch:', '0030', 'training cost=', '0.592719490')
('Epoch:', '0030', 'test cost=', '0.566233993')
('Epoch:', '0031', 'training cost=', '0.578295522')
('Epoch:', '0031', 'test cost=', '0.564273119')
('Epoch:', '0032', 'training cost=', '0.577857279')
('Epoch:', '0032', 'test cost=', '0.561986446')
('Epoch:', '0033', 'training cost=', '0.566624629')
('Epoch:', '0033', 'test cost=', '0.547884107')
('Epoch:', '0034', 'training cost=', '0.560434192')
('Epoch:', '0034', 'test cost=', '0.561797738')
('Epoch:', '0035', 'training cost=', '0.555409599')
('Epoch:', '0035', 'test cost=', '0.549085438')
('Epoch:', '0036', 'training cost=', '0.553456705')
('Epoch:', '0036', 'test cost=', '0.551441431')
('Epoch:', '0037', 'training cost=', '0.553744363')
('Epoch:', '0037', 'test cost=', '0.538081408')
('Epoch:', '0038', 'training cost=', '0.543749887')
('Epoch:', '0038', 'test cost=', '0.536732495')
('Epoch:', '0039', 'training cost=', '0.543777283')
('Epoch:', '0039', 'test cost=', '0.522174656')
('Epoch:', '0040', 'training cost=', '0.540048680')
('Epoch:', '0040', 'test cost=', '0.540989697')
('Epoch:', '0041', 'training cost=', '0.533607183')
('Epoch:', '0041', 'test cost=', '0.533390701')
('Epoch:', '0042', 'training cost=', '0.534806383')
('Epoch:', '0042', 'test cost=', '0.519902229')
('Epoch:', '0043', 'training cost=', '0.530130985')
('Epoch:', '0043', 'test cost=', '0.526039183')
('Epoch:', '0044', 'training cost=', '0.531001566')
('Epoch:', '0044', 'test cost=', '0.552918851')
('Epoch:', '0045', 'training cost=', '0.525041940')
('Epoch:', '0045', 'test cost=', '0.520601690')
('Epoch:', '0046', 'training cost=', '0.522486919')
('Epoch:', '0046', 'test cost=', '0.522333503')
('Epoch:', '0047', 'training cost=', '0.517412834')
('Epoch:', '0047', 'test cost=', '0.537583292')
('Epoch:', '0048', 'training cost=', '0.512583885')
('Epoch:', '0048', 'test cost=', '0.520309806')
('Epoch:', '0049', 'training cost=', '0.516932201')
('Epoch:', '0049', 'test cost=', '0.516572773')
('Epoch:', '0050', 'training cost=', '0.513147030')
('Epoch:', '0050', 'test cost=', '0.514712691')
('Epoch:', '0051', 'training cost=', '0.513380072')
('Epoch:', '0051', 'test cost=', '0.509183943')
('Epoch:', '0052', 'training cost=', '0.509015096')
('Epoch:', '0052', 'test cost=', '0.507838130')
('Epoch:', '0053', 'training cost=', '0.504045542')
('Epoch:', '0053', 'test cost=', '0.503835022')
('Epoch:', '0054', 'training cost=', '0.504784983')
('Epoch:', '0054', 'test cost=', '0.499074012')
('Epoch:', '0055', 'training cost=', '0.497210110')
('Epoch:', '0055', 'test cost=', '0.495966017')
('Epoch:', '0056', 'training cost=', '0.499159427')
('Epoch:', '0056', 'test cost=', '0.490844339')
('Epoch:', '0057', 'training cost=', '0.501126019')
('Epoch:', '0057', 'test cost=', '0.488214493')
('Epoch:', '0058', 'training cost=', '0.495555094')
('Epoch:', '0058', 'test cost=', '0.498506933')
('Epoch:', '0059', 'training cost=', '0.497281240')
('Epoch:', '0059', 'test cost=', '0.520462692')
('Epoch:', '0060', 'training cost=', '0.491676409')
('Epoch:', '0060', 'test cost=', '0.491915673')
('Epoch:', '0061', 'training cost=', '0.491579168')
('Epoch:', '0061', 'test cost=', '0.484805852')
('Epoch:', '0062', 'training cost=', '0.490751307')
('Epoch:', '0062', 'test cost=', '0.496647358')
('Epoch:', '0063', 'training cost=', '0.487148580')
('Epoch:', '0063', 'test cost=', '0.473233312')
('Epoch:', '0064', 'training cost=', '0.491853619')
('Epoch:', '0064', 'test cost=', '0.491546005')
('Epoch:', '0065', 'training cost=', '0.486932425')
('Epoch:', '0065', 'test cost=', '0.493538290')
('Epoch:', '0066', 'training cost=', '0.485977686')
('Epoch:', '0066', 'test cost=', '0.486879826')
('Epoch:', '0067', 'training cost=', '0.484636082')
('Epoch:', '0067', 'test cost=', '0.493435442')
('Epoch:', '0068', 'training cost=', '0.481170081')
('Epoch:', '0068', 'test cost=', '0.492438287')
('Epoch:', '0069', 'training cost=', '0.479576895')
('Epoch:', '0069', 'test cost=', '0.480412781')
('Epoch:', '0070', 'training cost=', '0.485440043')
('Epoch:', '0070', 'test cost=', '0.477843761')
('Epoch:', '0071', 'training cost=', '0.476019421')
('Epoch:', '0071', 'test cost=', '0.465789944')
('Epoch:', '0072', 'training cost=', '0.473406084')
('Epoch:', '0072', 'test cost=', '0.468988240')
('Epoch:', '0073', 'training cost=', '0.477918409')
('Epoch:', '0073', 'test cost=', '0.473780185')
('Epoch:', '0074', 'training cost=', '0.477112952')
('Epoch:', '0074', 'test cost=', '0.471373051')
('Epoch:', '0075', 'training cost=', '0.471999176')
('Epoch:', '0075', 'test cost=', '0.467742592')
('Epoch:', '0076', 'training cost=', '0.472563271')
('Epoch:', '0076', 'test cost=', '0.449829310')
('Epoch:', '0077', 'training cost=', '0.470126533')
('Epoch:', '0077', 'test cost=', '0.468451381')
('Epoch:', '0078', 'training cost=', '0.471935839')
('Epoch:', '0078', 'test cost=', '0.491797566')
('Epoch:', '0079', 'training cost=', '0.473043556')
('Epoch:', '0079', 'test cost=', '0.476328671')
('Epoch:', '0080', 'training cost=', '0.465693848')
('Epoch:', '0080', 'test cost=', '0.450937301')
('Epoch:', '0081', 'training cost=', '0.465029613')
('Epoch:', '0081', 'test cost=', '0.461848110')
('Epoch:', '0082', 'training cost=', '0.465198879')
('Epoch:', '0082', 'test cost=', '0.466646880')
('Epoch:', '0083', 'training cost=', '0.461648337')
('Epoch:', '0083', 'test cost=', '0.452136040')
('Epoch:', '0084', 'training cost=', '0.463556427')
('Epoch:', '0084', 'test cost=', '0.476787746')
('Epoch:', '0085', 'training cost=', '0.460154076')
('Epoch:', '0085', 'test cost=', '0.456440240')
('Epoch:', '0086', 'training cost=', '0.462631196')
('Epoch:', '0086', 'test cost=', '0.444671869')
('Epoch:', '0087', 'training cost=', '0.459609135')
('Epoch:', '0087', 'test cost=', '0.441124558')
('Epoch:', '0088', 'training cost=', '0.458644991')
('Epoch:', '0088', 'test cost=', '0.451323181')
('Epoch:', '0089', 'training cost=', '0.455072212')
('Epoch:', '0089', 'test cost=', '0.446551174')
('Epoch:', '0090', 'training cost=', '0.461423350')
('Epoch:', '0090', 'test cost=', '0.456035733')
('Epoch:', '0091', 'training cost=', '0.457611196')
('Epoch:', '0091', 'test cost=', '0.456957042')
('Epoch:', '0092', 'training cost=', '0.453246006')
('Epoch:', '0092', 'test cost=', '0.440138340')
('Epoch:', '0093', 'training cost=', '0.454193598')
('Epoch:', '0093', 'test cost=', '0.451154292')
('Epoch:', '0094', 'training cost=', '0.454898768')
('Epoch:', '0094', 'test cost=', '0.465277553')
('Epoch:', '0095', 'training cost=', '0.449585660')
('Epoch:', '0095', 'test cost=', '0.440263867')
('Epoch:', '0096', 'training cost=', '0.451844493')
('Epoch:', '0096', 'test cost=', '0.458259463')
('Epoch:', '0097', 'training cost=', '0.452628127')
('Epoch:', '0097', 'test cost=', '0.450018227')
('Epoch:', '0098', 'training cost=', '0.450621084')
('Epoch:', '0098', 'test cost=', '0.448000044')
('Epoch:', '0099', 'training cost=', '0.450613937')
('Epoch:', '0099', 'test cost=', '0.437825084')
('Epoch:', '0100', 'training cost=', '0.450674605')
('Epoch:', '0100', 'test cost=', '0.446859956')
('Epoch:', '0101', 'training cost=', '0.448594744')
('Epoch:', '0101', 'test cost=', '0.456781447')
('Epoch:', '0102', 'training cost=', '0.450046552')
('Epoch:', '0102', 'test cost=', '0.466560245')
('Epoch:', '0103', 'training cost=', '0.441545358')
('Epoch:', '0103', 'test cost=', '0.446738422')
