Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([50]), u'n_hidden_layers': array([2]), u'learning_rate': array([ 1.]), u'beta': array([ 0.1])}
('Epoch:', '0001', 'training cost=', '6.752009346')
('Epoch:', '0001', 'test cost=', '0.649234176')
('Epoch:', '0002', 'training cost=', '1.494809239')
('Epoch:', '0002', 'test cost=', '0.656720400')
('Epoch:', '0003', 'training cost=', '1.266982310')
('Epoch:', '0003', 'test cost=', '0.645909071')
('Epoch:', '0004', 'training cost=', '0.657373292')
('Epoch:', '0004', 'test cost=', '0.652501106')
('Epoch:', '0005', 'training cost=', '0.979751713')
('Epoch:', '0005', 'test cost=', '0.641463399')
('Epoch:', '0006', 'training cost=', '0.674074759')
('Epoch:', '0006', 'test cost=', '0.660659194')
('Epoch:', '0007', 'training cost=', '0.662157844')
('Epoch:', '0007', 'test cost=', '0.695686817')
('Epoch:', '0008', 'training cost=', '0.752043183')
('Epoch:', '0008', 'test cost=', '0.640790820')
('Epoch:', '0009', 'training cost=', '0.656641835')
('Epoch:', '0009', 'test cost=', '0.647987187')
('Epoch:', '0010', 'training cost=', '0.655540128')
('Epoch:', '0010', 'test cost=', '0.657932222')
('Epoch:', '0011', 'training cost=', '1.046476007')
('Epoch:', '0011', 'test cost=', '0.640924394')
('Epoch:', '0012', 'training cost=', '0.654015434')
('Epoch:', '0012', 'test cost=', '0.657270968')
('Epoch:', '0013', 'training cost=', '0.699371198')
('Epoch:', '0013', 'test cost=', '0.642658710')
('Epoch:', '0014', 'training cost=', '2.965316653')
('Epoch:', '0014', 'test cost=', '0.641414702')
('Epoch:', '0015', 'training cost=', '0.845888545')
('Epoch:', '0015', 'test cost=', '0.641143143')
('Epoch:', '0016', 'training cost=', '0.669732294')
('Epoch:', '0016', 'test cost=', '0.641997576')
('Epoch:', '0017', 'training cost=', '0.653027044')
('Epoch:', '0017', 'test cost=', '0.642622530')
('Epoch:', '0018', 'training cost=', '0.683132220')
('Epoch:', '0018', 'test cost=', '0.641353548')
('Epoch:', '0019', 'training cost=', '0.656641246')
('Epoch:', '0019', 'test cost=', '0.642710984')
('Epoch:', '0020', 'training cost=', '0.656182748')
('Epoch:', '0020', 'test cost=', '0.645214379')
('Epoch:', '0021', 'training cost=', '1.736697306')
('Epoch:', '0021', 'test cost=', '0.670678437')
('Epoch:', '0022', 'training cost=', '0.658417314')
('Epoch:', '0022', 'test cost=', '0.667776167')
('Epoch:', '0023', 'training cost=', '0.745128613')
('Epoch:', '0023', 'test cost=', '0.676653504')
('Epoch:', '0024', 'training cost=', '0.657317316')
('Epoch:', '0024', 'test cost=', '0.641967118')
('Epoch:', '0025', 'training cost=', '0.656255253')
('Epoch:', '0025', 'test cost=', '0.641481817')
('Epoch:', '0026', 'training cost=', '0.651828878')
('Epoch:', '0026', 'test cost=', '0.667776525')
('Epoch:', '0027', 'training cost=', '0.655681386')
('Epoch:', '0027', 'test cost=', '0.642314434')
('Epoch:', '0028', 'training cost=', '0.656175917')
('Epoch:', '0028', 'test cost=', '0.674805760')
('Epoch:', '0029', 'training cost=', '0.659735997')
('Epoch:', '0029', 'test cost=', '0.652089477')
('Epoch:', '0030', 'training cost=', '0.657259432')
('Epoch:', '0030', 'test cost=', '0.670862019')
('Epoch:', '0031', 'training cost=', '0.658607626')
('Epoch:', '0031', 'test cost=', '0.640880585')
('Epoch:', '0032', 'training cost=', '0.655507568')
('Epoch:', '0032', 'test cost=', '0.696155369')
('Epoch:', '0033', 'training cost=', '0.667432875')
('Epoch:', '0033', 'test cost=', '0.669697642')
('Epoch:', '0034', 'training cost=', '0.655135100')
('Epoch:', '0034', 'test cost=', '0.730362654')
